"Data file recorded 2020/12/4  9:54:43"
  index,   time,    ref,ctrl_LR,ctrl_FB,ctrl_UD,ctrl_YA,  pitch,   roll,    yaw,    vgx,    vgy,    vgz,   templ,   temph,    tof,      h,    bat,   baro,   time,    agx,    agy,    agz
  0.000,  0.079,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 80.000, 83.000, 10.000,  0.000,100.000,-19.200, 19.000, -9.000,-10.000,-1002.000
  1.000,  0.134,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 80.000, 83.000, 10.000,  0.000,100.000,-19.230, 19.000, -8.000,-11.000,-999.000
  2.000,  0.225,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 80.000, 83.000, 10.000,  0.000,100.000,-19.200, 19.000, -8.000,-10.000,-1000.000
  3.000,  0.326,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 80.000, 83.000, 10.000,  0.000,100.000,-19.230, 19.000, -8.000,-10.000,-1002.000
  4.000,  0.429,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 80.000, 83.000, 10.000,  0.000,100.000,-19.180, 19.000, -7.000,-10.000,-1000.000
  5.000,  0.530,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 80.000, 83.000, 10.000,  0.000,100.000,-19.190, 19.000, -6.000,-10.000,-998.000
  6.000,  0.633,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 80.000, 83.000, 10.000,  0.000,100.000,-19.240, 19.000, -9.000,-11.000,-999.000
  7.000,  0.735,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 80.000, 83.000, 10.000,  0.000,100.000,-19.220, 19.000, -7.000,-11.000,-1001.000
  8.000,  0.837,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 80.000, 83.000, 10.000,  0.000,100.000,-19.240, 19.000, -8.000,-10.000,-999.000
  9.000,  0.944,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 80.000, 83.000, 10.000,  0.000,100.000,-19.180, 19.000, -8.000,-11.000,-997.000
